tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt5703622,movie,Asian Ghost Story,0,2016,75,"Action,Horror",2.7,53,nm0213983
tt13491982,movie,Eesti matus,0,2021,93,Comedy,5.4,305,nm0897433
tt0251096,movie,Girl Gone Bad,0,2000,57,Documentary,8.8,26,nm0946261
tt11051880,movie,The Deathless Woman,0,2019,89,Documentary,6.7,16,nm1474334
tt28697534,movie,Bulls and Saints,0,2023,52,Documentary,6.7,20,nm0233574
tt1800370,movie,Salaam Dunk,0,2011,78,"Documentary,Drama,Sport",8.1,20,nm2176688
tt3235258,movie,My First Love,0,2013,82,Drama,3,553,nm5292466
tt28000260,movie,The Receptionist,0,2023,112,Romance,7.1,32,nm0713615
tt0337241,movie,Stiffed,0,2002,83,Drama,6.8,10,nm0959132
tt29062189,movie,Taboo,0,2024,,"Drama,Romance",7.2,136,nm7609145
tt2951700,movie,Whoops!,0,2013,90,"Comedy,Drama",8.3,42,"nm2924392,nm3340650"
tt1358852,movie,Madholal Keep Walking,0,2009,121,"Comedy,Drama",6.2,138,nm3284150
tt0858479,movie,Smart People,0,2008,95,"Comedy,Drama,Romance",6.1,23604,nm1729171
tt7222552,movie,Sparring,0,2017,95,"Drama,Sport",6.4,713,nm0431221
tt0473154,movie,A Boy Named Jason,0,2005,55,Drama,6.4,10,nm1969726
tt27034921,movie,Heartist,0,2023,60,"Biography,Documentary,History",7.6,14,"nm3568617,nm14625629"
tt1063111,movie,Small Town Saturday Night,0,2010,94,Drama,5.3,1347,nm1769980
tt2965842,movie,Raspberry Boat Refugee,0,2014,94,"Comedy,Romance",6,1723,nm0511460
tt12934940,movie,On the Line,0,2023,74,"Drama,Mystery,Thriller",4.9,217,nm11399915
tt0438888,movie,Kalpurush,0,2005,120,Drama,7.1,291,nm0201949
tt10654814,movie,Decline,0,2019,201,"Documentary,History,Horror",7.6,22,nm1497931
tt4686432,movie,Fratelli di sangue,0,2016,83,Crime,5,11,nm5345941
tt4910718,movie,The Happys,0,2016,87,Comedy,5.5,164,"nm1020919,nm0003383"
tt0497950,movie,Nonfilm,0,2002,75,Comedy,6,641,nm1189197
tt1779068,movie,Highland Fling,0,2010,106,"Comedy,Romance",8.4,8,"nm0101997,nm4184913"
tt0459475,movie,Naam Gum Jaayega,0,2004,125,"Mystery,Thriller",6.2,105,nm1242250
tt0400657,movie,Mojados: Through the Night,0,2004,79,Documentary,6.7,194,nm1558429
tt7066638,movie,The Bomb,0,2017,94,Drama,4.9,12,nm2206915
tt0212867,movie,Soulkeeper,0,2001,105,"Action,Adventure,Comedy",4.8,1315,nm0006518
tt3415992,movie,The Time of Their Lives,0,2017,104,Comedy,6.1,1259,nm0325368
tt0892332,movie,Noodle,0,2007,90,"Comedy,Drama",7.4,958,nm0578690
tt2523098,movie,Leuenklinge,0,2010,140,Fantasy,7,12,nm5388348
tt9634958,movie,The Haunting,0,2020,70,Horror,6.5,19,nm10414240
tt7141078,movie,1996 Lucy and the Corpses in the Pool,0,2017,93,Documentary,4.7,8,"nm4201018,nm4117528"
tt3504830,movie,Valentin Valentin,0,2014,106,Crime,5.5,250,nm0859323
tt9426186,movie,Revenger,0,2018,101,"Action,Crime,Thriller",5.7,4887,nm7947822
tt2845578,movie,War Story,0,2014,90,Drama,3.9,809,nm4230495
tt2265555,movie,Snuf de hond en de IJsvogel,0,2010,85,"Adventure,Family",5.2,125,nm0429535
tt32150677,movie,How I Faked My Life with AI,0,2024,,Documentary,9.5,10,nm6404719
tt0430524,movie,The Rescuer,0,2011,84,Documentary,8.6,17,nm0342041
tt2244660,movie,Master of Inventions,0,2012,69,Comedy,7.7,14,"nm2072472,nm3513803"
tt2040311,movie,Cru,0,2013,73,"Drama,Mystery,Thriller",6.7,35,nm2128536
